datetime,x,y
20200123 10:32,121.4561,25.0048
20200123 10:42,121.4543,25.0039
20200123 10:52,121.4550,25.0051
20200123 13:22,121.4582,25.0073
20200123 13:22,121.4562,25.0068
20200123 13:25,121.4565,25.0052
20200123 13:26,121.4597,25.0048
20200123 13:31,121.4554,25.0044
20200123 13:39,121.4598,25.0041
20200123 13:39,121.4564,25.0051
20200123 13:46,121.4596,25.0052
20200123 13:51,121.4565,25.0052
20200123 14:00,121.4598,25.0044
20200123 14:01,121.4551,25.0041
20200123 14:11,121.4570,25.0058
20200123 14:18,121.4580,25.0035
20200123 14:20,121.4565,25.0048
20200123 14:26,121.4580,25.0035
20200123 14:26,121.4565,25.0048
20200123 14:54,121.4598,25.0042
20200123 14:54,121.4564,25.0051
20200123 14:54,121.4598,25.0042
20200123 14:57,121.4565,25.0052
20200123 14:58,121.4595,25.0062
20200123 14:58,121.4597,25.0048
20200123 15:02,121.4595,25.0062
20200123 15:02,121.4597,25.0048
20200123 15:03,121.4595,25.0062
20200123 15:03,121.4597,25.0048
20200123 15:06,121.4569,25.0058
20200123 15:06,121.4595,25.0060
20200123 15:07,121.4551,25.0046
20200123 15:08,121.4563,25.0069
20200123 15:08,121.4556,25.0057
20200123 15:08,121.4563,25.0069
20200123 15:09,121.4561,25.0048
20200123 15:09,121.4596,25.0052
20200123 15:10,121.4551,25.0047
20200123 15:10,121.4536,25.0036
20200123 15:10,121.4551,25.0047
20200123 15:18,121.4605,25.0096
20200123 15:19,121.4610,25.0118
20200123 15:21,121.4596,25.0088
20200123 15:22,121.4607,25.0099
20200123 15:26,121.4640,25.0156
20200123 15:27,121.4653,25.0169
20200123 15:28,121.4654,25.0191
20200123 15:28,121.4677,25.0227
20200123 15:28,121.4657,25.0197
20200123 15:28,121.4684,25.0231
20200123 15:29,121.4705,25.0272
20200123 15:29,121.4693,25.0251
20200123 15:29,121.4704,25.0275
20200123 15:29,121.4690,25.0246
20200123 15:29,121.4702,25.0267
20200123 15:30,121.4719,25.0294
20200123 15:30,121.4708,25.0281
20200123 15:31,121.4740,25.0317
20200123 15:31,121.4761,25.0340
20200123 15:31,121.4746,25.0326
20200123 15:31,121.4760,25.0342
20200123 15:31,121.4740,25.0317
20200123 15:32,121.4783,25.0357
20200123 15:32,121.4815,25.0354
20200123 15:32,121.4783,25.0357
20200123 15:32,121.4829,25.0357
20200123 15:32,121.4805,25.0357
20200123 15:32,121.4839,25.0356
20200123 15:32,121.4803,25.0358
20200123 15:32,121.4828,25.0357
20200123 15:33,121.4921,25.0367
20200123 15:33,121.4891,25.0347
20200123 15:33,121.4855,25.0357
20200123 15:33,121.4921,25.0367
20200123 15:33,121.4870,25.0355
20200123 15:33,121.4894,25.0349
20200123 15:33,121.4856,25.0356
20200123 15:34,121.4964,25.0393
20200123 15:34,121.4947,25.0383
20200123 15:34,121.4976,25.0403
20200123 15:36,121.5043,25.0479
20200123 15:36,121.5031,25.0462
20200123 15:36,121.5043,25.0479
20200123 15:36,121.5032,25.0460
20200123 15:38,121.5054,25.0503
20200123 15:38,121.5070,25.0505
20200123 15:43,121.5099,25.0532
20200123 15:44,121.5118,25.0524
20200123 15:45,121.5102,25.0532
20200123 15:47,121.5116,25.0548
20200123 15:52,121.5115,25.0565
20200123 15:53,121.5094,25.0568
20200123 15:53,121.5116,25.0562
20200123 15:53,121.5086,25.0568
20200123 15:55,121.5084,25.0582
20200123 15:55,121.5101,25.0569
20200123 15:55,121.5084,25.0582
20200123 15:55,121.5101,25.0569
20200123 15:56,121.5114,25.0579
20200123 15:57,121.5114,25.0594
20200123 16:01,121.5085,25.0595
20200123 16:01,121.5114,25.0589
20200123 16:01,121.5084,25.0589
20200123 16:02,121.5114,25.0589
20200123 16:03,121.5085,25.0595
20200123 16:03,121.5114,25.0589
20200123 16:03,121.5085,25.0595
20200123 16:05,121.5114,25.0589
20200123 16:07,121.5085,25.0595
20200123 16:07,121.5114,25.0594
20200123 16:07,121.5084,25.0589
20200123 16:08,121.5113,25.0597
20200123 16:08,121.5084,25.0602
20200123 16:08,121.5113,25.0597
20200123 16:09,121.5089,25.0605
20200123 16:09,121.5114,25.0594
20200123 16:09,121.5084,25.0602
20200123 16:09,121.5114,25.0594
20200123 16:09,121.5089,25.0605
20200123 16:09,121.5106,25.0592
20200123 16:09,121.5089,25.0605
20200123 16:09,121.5113,25.0597
20200123 16:09,121.5089,25.0605
20200123 16:09,121.5114,25.0594
20200123 16:10,121.5084,25.0589
20200123 16:10,121.5114,25.0589
20200123 16:10,121.5084,25.0589
20200123 16:11,121.5114,25.0589
20200123 16:18,121.5111,25.0569
20200123 16:19,121.5080,25.0535
20200123 16:19,121.5102,25.0569
20200123 16:19,121.5116,25.0562
20200123 16:19,121.5102,25.0569
20200123 16:19,121.5090,25.0533
20200123 16:19,121.5102,25.0569
20200123 16:19,121.5080,25.0535
20200123 16:19,121.5108,25.0569
20200123 16:19,121.5090,25.0533
20200123 16:19,121.5116,25.0562
20200123 16:20,121.5090,25.0533
20200123 16:25,121.5106,25.0537
20200123 16:29,121.5090,25.0533
20200123 16:39,121.5075,25.0536
20200123 16:40,121.5076,25.0522
20200123 16:40,121.5075,25.0536
20200123 16:40,121.5076,25.0522
20200123 16:40,121.5075,25.0536
20200123 16:41,121.5083,25.0520
20200123 16:41,121.5074,25.0532
20200123 16:41,121.5082,25.0520
20200123 16:42,121.5087,25.0505
20200123 16:43,121.5063,25.0499
20200123 16:44,121.4996,25.0448
20200123 16:44,121.5000,25.0424
20200123 16:44,121.5010,25.0451
20200123 16:44,121.5002,25.0431
20200123 16:44,121.4996,25.0448
20200123 16:45,121.4981,25.0407
20200123 16:45,121.4954,25.0386
20200123 16:45,121.4981,25.0407
20200123 16:46,121.4947,25.0383
20200123 16:47,121.4829,25.0358
20200123 16:47,121.4802,25.0361
20200123 16:47,121.4829,25.0358
20200123 16:47,121.4803,25.0358
20200123 16:47,121.4829,25.0358
20200123 16:47,121.4803,25.0358
20200123 16:47,121.4829,25.0358
20200123 16:48,121.4789,25.0358
20200123 16:49,121.4735,25.0367
20200123 16:49,121.4744,25.0323
20200123 16:49,121.4735,25.0367
20200123 16:50,121.4705,25.0318
20200123 16:50,121.4678,25.0323
20200123 16:50,121.4705,25.0318
20200123 16:51,121.4661,25.0318
20200123 16:51,121.4639,25.0313
20200123 16:51,121.4654,25.0316
20200123 16:51,121.4671,25.0321
20200123 16:51,121.4654,25.0316
20200123 16:52,121.4634,25.0310
20200123 16:54,121.4587,25.0291
20200123 16:56,121.4550,25.0270
20200123 16:56,121.4559,25.0284
20200123 16:56,121.4550,25.0270
20200123 16:56,121.4544,25.0250
20200123 16:56,121.4550,25.0270
20200123 17:00,121.4509,25.0111
20200123 17:01,121.4525,25.0057
20200123 17:06,121.4536,25.0036
20200123 17:06,121.4553,25.0050
20200123 17:06,121.4536,25.0036
20200123 17:07,121.4557,25.0059
20200123 17:09,121.4550,25.0040
20200123 17:09,121.4556,25.0056
20200123 17:09,121.4543,25.0039
20200123 17:09,121.4554,25.0061
20200123 17:09,121.4543,25.0039
20200123 17:09,121.4555,25.0061
20200123 17:11,121.4550,25.0044
20200123 17:11,121.4556,25.0057
20200123 17:11,121.4550,25.0044
20200123 17:11,121.4556,25.0057
20200123 17:11,121.4550,25.0044
20200123 17:11,121.4556,25.0057
20200123 17:11,121.4550,25.0044
20200123 17:33,121.4598,25.0041
20200123 17:33,121.4570,25.0058
20200123 17:51,121.4598,25.0042
20200123 17:51,121.4555,25.0043
20200123 19:04,121.4580,25.0035
20200123 19:22,121.4554,25.0043
20200123 20:05,121.4598,25.0041
20200123 20:11,121.4554,25.0044
20200123 20:14,121.4598,25.0041
20200123 20:17,121.4565,25.0052
20200123 20:22,121.4598,25.0044
20200123 20:28,121.4550,25.0040
20200123 20:34,121.4565,25.0052
20200123 20:34,121.4597,25.0049
20200123 20:37,121.4570,25.0059
20200123 20:38,121.4552,25.0049
20200123 20:40,121.4570,25.0059
20200123 20:40,121.4561,25.0048
20200123 20:40,121.4570,25.0059
20200123 20:44,121.4580,25.0070
20200123 20:49,121.4595,25.0073
20200123 20:52,121.4603,25.0085
20200123 21:38,121.4593,25.0069
20200123 21:39,121.4578,25.0067
