datetime,x,y,seq,village
20200117 14:40,120.6375,24.2035,1132,大雅區橫山里
20200117 14:40,120.6369,24.2190,1133,大雅區橫山里
20200117 14:40,120.6451,24.2257,1134,大雅區大雅里
20200117 14:40,120.6347,24.2090,1135,大雅區橫山里
20200117 14:40,120.6283,24.2026,1136,西屯區林厝里
20200117 14:40,120.6369,24.2190,1137,大雅區橫山里
20200117 14:40,120.6393,24.2109,1139,大雅區橫山里
20200117 14:40,120.6381,24.2180,1140,大雅區橫山里
20200117 14:44,120.6726,24.3317,1141,外埔區永豐里
20200117 14:44,120.6740,24.3430,1142,外埔區馬鳴里
20200117 14:44,120.6775,24.3476,1145,外埔區部子里
20200117 14:44,120.6776,24.3190,1147,外埔區六分里
20200117 14:44,120.6753,24.3439,1148,外埔區馬鳴里
20200117 14:44,120.6840,24.3314,1151,外埔區永豐里
20200117 14:44,120.6873,24.3569,1152,外埔區部子里
20200117 14:44,120.6726,24.3317,1153,外埔區永豐里
20200117 14:44,120.6753,24.3439,1154,外埔區馬鳴里
20200117 14:45,120.6839,24.3816,1161,苑裡鎮玉田里
20200117 14:45,120.6893,24.3852,1162,苑裡鎮玉田里
20200117 14:45,120.6855,24.3714,1163,大甲區幸福里
20200117 14:45,120.6882,24.3856,1164,苑裡鎮玉田里
20200117 14:45,120.6909,24.3837,1165,苑裡鎮玉田里
20200117 14:45,120.6862,24.3795,1167,苑裡鎮玉田里
20200117 14:45,120.6858,24.3749,1168,大甲區幸福里
20200117 14:45,120.6855,24.3714,1169,大甲區幸福里
20200117 14:45,120.6888,24.3854,1171,苑裡鎮玉田里
20200117 14:45,120.6862,24.3795,1172,苑裡鎮玉田里
20200117 14:45,120.6830,24.3731,1173,大甲區幸福里
20200117 14:45,120.6888,24.3854,1174,苑裡鎮玉田里
20200117 14:45,120.6895,24.3764,1175,苑裡鎮玉田里
20200117 14:45,120.6873,24.3865,1176,苑裡鎮玉田里
20200117 14:45,120.6910,24.3835,1177,苑裡鎮玉田里
20200117 14:45,120.6839,24.3816,1178,苑裡鎮玉田里
20200117 14:45,120.6955,24.3987,1179,苑裡鎮南勢里
20200117 14:45,120.6863,24.3940,1180,苑裡鎮社苓里
20200117 14:45,120.6882,24.3857,1181,苑裡鎮玉田里
20200117 14:45,120.6920,24.3741,1183,苑裡鎮上館里
20200117 14:45,120.6870,24.3867,1184,苑裡鎮玉田里
20200117 14:45,120.6862,24.3795,1185,苑裡鎮玉田里
20200117 14:45,120.6910,24.3835,1186,苑裡鎮玉田里
20200117 14:45,120.6888,24.3854,1187,苑裡鎮玉田里
20200117 14:45,120.6920,24.3741,1188,苑裡鎮上館里
20200117 14:45,120.6854,24.3803,1189,苑裡鎮玉田里
20200117 14:45,120.6830,24.3731,1190,大甲區幸福里
20200117 14:45,120.6888,24.3854,1191,苑裡鎮玉田里
20200117 14:45,120.6830,24.3825,1192,苑裡鎮玉田里
20200117 14:46,120.6984,24.4371,1193,苑裡鎮水坡里
20200117 14:46,120.7002,24.4261,1197,苑裡鎮蕉埔里
20200117 14:46,120.6921,24.4111,1198,苑裡鎮山腳里
20200117 14:46,120.6929,24.4069,1199,苑裡鎮山腳里
20200117 14:46,120.6984,24.4371,1200,苑裡鎮水坡里
20200117 14:47,120.7129,24.4751,1202,通霄鎮圳頭里
20200117 14:48,120.7125,24.4820,1203,通霄鎮圳頭里
20200117 14:49,120.7289,24.5105,1207,通霄鎮烏眉里
20200117 14:50,120.7782,24.5576,1210,西湖鄉金獅村
20200117 14:50,120.7615,24.5576,1211,西湖鄉金獅村
20200117 14:51,120.8051,24.5961,1213,後龍鎮龍坑里
20200117 14:51,120.7766,24.5583,1214,西湖鄉金獅村
20200117 14:51,120.7839,24.5756,1215,苗栗市新川里
20200117 14:52,120.8229,24.6008,1216,後龍鎮豐富里
20200117 14:52,120.8281,24.6019,1218,後龍鎮豐富里
20200117 14:52,120.8155,24.6031,1219,後龍鎮豐富里
20200117 14:52,120.8225,24.6010,1221,後龍鎮豐富里
20200117 14:52,120.8245,24.6025,1223,後龍鎮豐富里
20200117 14:53,120.8281,24.6020,1224,後龍鎮豐富里
