datetime,x,y,seq
20200117 14:08,120.3993,23.7018,1057
20200117 14:08,120.3976,23.7013,1058
20200117 14:08,120.3840,23.6838,1059
20200117 14:09,120.4030,23.7083,1060
20200117 14:09,120.4076,23.7199,1062
20200117 14:09,120.4029,23.7082,1063
20200117 14:09,120.4004,23.7068,1065
20200117 14:09,120.4043,23.7094,1066
20200117 14:09,120.4077,23.7248,1067
20200117 14:09,120.4080,23.7184,1068
20200117 14:09,120.4043,23.7094,1069
20200117 14:09,120.4022,23.7079,1070
20200117 14:09,120.4036,23.7088,1071
20200117 14:09,120.4111,23.7204,1072
20200117 14:09,120.4036,23.7088,1073
20200117 14:09,120.4076,23.7199,1074
20200117 14:09,120.4004,23.7068,1075
20200117 14:09,120.4036,23.7088,1076
20200117 14:09,120.4130,23.7221,1078
20200117 14:09,120.4084,23.7213,1079
20200117 14:09,120.4043,23.7094,1080
20200117 14:09,120.4004,23.7068,1081
20200117 14:09,120.4030,23.7083,1082
20200117 14:09,120.4084,23.7213,1083
20200117 14:09,120.4069,23.7127,1084
20200117 14:09,120.4107,23.7219,1085
20200117 14:10,120.4155,23.7295,1086
20200117 14:10,120.4146,23.7352,1087
20200117 14:14,120.4273,23.7612,1088
20200117 14:14,120.4160,23.7434,1089
20200117 14:14,120.4257,23.7569,1090
20200117 14:14,120.4273,23.7612,1091
20200117 14:14,120.4160,23.7434,1092
20200117 14:14,120.4184,23.7482,1093
20200117 14:14,120.4257,23.7569,1095
20200117 14:15,120.4316,23.7701,1096
20200117 14:15,120.4273,23.7612,1097
20200117 14:15,120.4298,23.7661,1098
20200117 14:15,120.4265,23.7608,1099
20200117 14:20,120.5750,23.8695,1100
20200117 14:20,120.5733,23.8722,1101
20200117 14:25,120.5872,23.8703,1103
20200117 14:25,120.5901,23.8837,1104
20200117 14:25,120.5868,23.8805,1106
20200117 14:25,120.5883,23.8838,1107
20200117 14:25,120.5901,23.8838,1109
20200117 14:25,120.5872,23.8703,1110
20200117 14:26,120.6104,23.9011,1111
20200117 14:26,120.6092,23.9067,1112
20200117 14:26,120.6037,23.9033,1113
20200117 14:26,120.6017,23.9032,1115
20200117 14:26,120.6037,23.9033,1118
20200117 14:26,120.6104,23.9011,1120
20200117 14:26,120.5986,23.8907,1121
20200117 14:26,120.6025,23.9033,1122
20200117 14:26,120.6042,23.9033,1124
20200117 14:26,120.6027,23.9033,1125
20200117 14:26,120.6042,23.9033,1126
20200117 14:26,120.6090,23.9077,1127
20200117 14:26,120.6031,23.8927,1128
20200117 14:33,120.6154,24.1121,1129
20200117 14:40,120.6384,24.2235,1131
20200117 14:40,120.6375,24.2035,1132
20200117 14:40,120.6369,24.2190,1133
20200117 14:40,120.6451,24.2257,1134
20200117 14:40,120.6347,24.2090,1135
20200117 14:40,120.6283,24.2026,1136
20200117 14:40,120.6369,24.2190,1137
20200117 14:40,120.6381,24.2180,1138
20200117 14:40,120.6393,24.2109,1139
20200117 14:40,120.6381,24.2180,1140
20200117 14:44,120.6726,24.3317,1141
20200117 14:44,120.6740,24.3430,1142
20200117 14:44,120.6726,24.3317,1143
20200117 14:44,120.6740,24.3430,1144
20200117 14:44,120.6775,24.3476,1145
20200117 14:44,120.6776,24.3190,1147
20200117 14:44,120.6753,24.3439,1148
20200117 14:44,120.6840,24.3314,1151
20200117 14:44,120.6873,24.3569,1152
20200117 14:44,120.6726,24.3317,1153
20200117 14:44,120.6753,24.3439,1154
20200117 14:44,120.6768,24.3443,1159
20200117 14:45,120.6839,24.3816,1161
20200117 14:45,120.6893,24.3852,1162
20200117 14:45,120.6855,24.3714,1163
20200117 14:45,120.6882,24.3856,1164
20200117 14:45,120.6909,24.3837,1165
20200117 14:45,120.6882,24.3856,1166
20200117 14:45,120.6862,24.3795,1167
20200117 14:45,120.6858,24.3749,1168
20200117 14:45,120.6855,24.3714,1169
20200117 14:45,120.6858,24.3749,1170
20200117 14:45,120.6888,24.3854,1171
20200117 14:45,120.6862,24.3795,1172
20200117 14:45,120.6830,24.3731,1173
20200117 14:45,120.6888,24.3854,1174
20200117 14:45,120.6895,24.3764,1175
20200117 14:45,120.6873,24.3865,1176
20200117 14:45,120.6910,24.3835,1177
20200117 14:45,120.6839,24.3816,1178
20200117 14:45,120.6955,24.3987,1179
20200117 14:45,120.6863,24.3940,1180
20200117 14:45,120.6882,24.3857,1181
20200117 14:45,120.6920,24.3741,1183
20200117 14:45,120.6870,24.3867,1184
20200117 14:45,120.6862,24.3795,1185
20200117 14:45,120.6910,24.3835,1186
20200117 14:45,120.6888,24.3854,1187
20200117 14:45,120.6920,24.3741,1188
20200117 14:45,120.6854,24.3803,1189
20200117 14:45,120.6830,24.3731,1190
20200117 14:45,120.6888,24.3854,1191
20200117 14:45,120.6830,24.3825,1192
20200117 14:46,120.6984,24.4371,1193
20200117 14:46,120.7002,24.4261,1197
20200117 14:46,120.6921,24.4111,1198
20200117 14:46,120.6929,24.4069,1199
20200117 14:46,120.6984,24.4371,1200
20200117 14:47,120.7129,24.4751,1202
20200117 14:48,120.7125,24.4820,1203
20200117 14:49,120.7289,24.5105,1207
20200117 14:50,120.7782,24.5576,1210
20200117 14:50,120.7615,24.5576,1211
20200117 14:51,120.8051,24.5961,1213
20200117 14:51,120.7766,24.5583,1214
20200117 14:51,120.7839,24.5756,1215
20200117 14:52,120.8229,24.6008,1216
20200117 14:52,120.8245,24.6025,1217
20200117 14:52,120.8281,24.6019,1218
20200117 14:52,120.8155,24.6031,1219
20200117 14:52,120.8279,24.6019,1220
20200117 14:52,120.8225,24.6010,1221
20200117 14:52,120.8245,24.6025,1223
20200117 14:53,120.8281,24.6020,1224
20200117 14:57,120.8322,24.6074,1242
20200117 14:57,120.8315,24.6059,1243
20200117 14:57,120.8295,24.6068,1244
20200117 14:57,120.8304,24.6039,1245
20200117 14:57,120.8283,24.6065,1246
20200117 14:57,120.8305,24.6040,1247
20200117 14:57,120.8600,24.5854,1248
20200117 14:57,120.8322,24.6074,1249
20200117 14:57,120.8304,24.6039,1250
20200117 14:57,120.8281,24.6070,1251
20200117 14:57,120.8304,24.6039,1252
20200117 14:57,120.8315,24.6059,1254
20200117 14:57,120.8304,24.6039,1255
20200117 14:57,120.8289,24.6018,1257
20200117 14:57,120.8281,24.6070,1258
20200117 14:57,120.8600,24.5854,1259
20200117 14:57,120.8301,24.6028,1260
20200117 14:57,120.8322,24.6074,1261
20200117 14:57,120.8289,24.6018,1262
20200117 14:58,120.8606,24.5947,1263
20200117 14:58,120.8504,24.6108,1264
20200117 14:58,120.8625,24.6000,1266
20200117 14:58,120.8606,24.5940,1267
20200117 14:58,120.8623,24.6000,1268
20200117 14:58,120.8479,24.6237,1269
20200117 14:59,120.917,24.6696,1270
20200117 14:59,120.8720,24.6320,1271
20200117 14:59,120.8333,24.6257,1272
20200117 14:59,120.8806,24.6218,1273
20200117 14:59,120.8720,24.6320,1274
20200117 14:59,120.8690,24.6022,1275
20200117 14:59,120.8806,24.6218,1276
