datetime,x,y,seq
20200117 14:25,120.5883,23.8838,1107
20200117 14:25,120.5872,23.8703,1110
20200117 14:26,120.6104,23.9011,1111
20200117 14:26,120.6092,23.9067,1112
20200117 14:26,120.6037,23.9033,1113
20200117 14:26,120.6104,23.9011,1120
20200117 14:26,120.5986,23.8907,1121
20200117 14:26,120.6025,23.9033,1122
20200117 14:26,120.6090,23.9077,1127
20200117 14:26,120.6031,23.8927,1128
20200117 14:33,120.6154,24.1121,1129
20200117 14:40,120.6384,24.2235,1131
20200117 14:40,120.6375,24.2035,1132
20200117 14:40,120.6369,24.2190,1133
20200117 14:40,120.6451,24.2257,1134
20200117 14:40,120.6347,24.2090,1135
20200117 14:40,120.6283,24.2026,1136
20200117 14:40,120.6369,24.2190,1137
20200117 14:40,120.6393,24.2109,1139
20200117 14:40,120.6381,24.2180,1140
20200117 14:44,120.6726,24.3317,1141
20200117 14:44,120.6740,24.3430,1142
20200117 14:44,120.6726,24.3317,1143
20200117 14:44,120.6740,24.3430,1144
20200117 14:44,120.6775,24.3476,1145
20200117 14:44,120.6776,24.3190,1147
20200117 14:44,120.6753,24.3439,1148
20200117 14:44,120.6840,24.3314,1151
20200117 14:44,120.6873,24.3569,1152
20200117 14:44,120.6726,24.3317,1153
20200117 14:44,120.6753,24.3439,1154
20200117 14:45,120.6839,24.3816,1161
20200117 14:45,120.6893,24.3852,1162
20200117 14:45,120.6855,24.3714,1163
20200117 14:45,120.6882,24.3856,1164
20200117 14:45,120.6909,24.3837,1165
20200117 14:45,120.6882,24.3856,1166
20200117 14:45,120.6862,24.3795,1167
20200117 14:45,120.6858,24.3749,1168
20200117 14:45,120.6855,24.3714,1169
20200117 14:45,120.6858,24.3749,1170
20200117 14:45,120.6888,24.3854,1171
20200117 14:45,120.6862,24.3795,1172
20200117 14:45,120.6830,24.3731,1173
20200117 14:45,120.6888,24.3854,1174
20200117 14:45,120.6895,24.3764,1175
20200117 14:45,120.6873,24.3865,1176
20200117 14:45,120.6910,24.3835,1177
20200117 14:45,120.6839,24.3816,1178
20200117 14:45,120.6955,24.3987,1179
20200117 14:45,120.6863,24.3940,1180
20200117 14:45,120.6882,24.3857,1181
20200117 14:45,120.6920,24.3741,1183
20200117 14:45,120.6870,24.3867,1184
20200117 14:45,120.6862,24.3795,1185
20200117 14:45,120.6910,24.3835,1186
20200117 14:45,120.6888,24.3854,1187
20200117 14:45,120.6920,24.3741,1188
20200117 14:45,120.6854,24.3803,1189
20200117 14:45,120.6830,24.3731,1190
20200117 14:45,120.6888,24.3854,1191
20200117 14:45,120.6830,24.3825,1192
20200117 14:46,120.6984,24.4371,1193
20200117 14:46,120.7002,24.4261,1197
20200117 14:46,120.6921,24.4111,1198
20200117 14:46,120.6929,24.4069,1199
20200117 14:46,120.6984,24.4371,1200
